Species,X,Y,ScientificName
polyglotta,-9.21,38.423,Hippolais polyglotta
polyglotta,9.4835,42.5953,Hippolais polyglotta
polyglotta,3.1693,43.2385,Hippolais polyglotta
polyglotta,1.761,42.094,Hippolais polyglotta
polyglotta,-0.4908,43.1586,Hippolais polyglotta
polyglotta,-0.4991,43.3444,Hippolais polyglotta
polyglotta,-1.1975,43.3212,Hippolais polyglotta
polyglotta,-1.751,43.3794,Hippolais polyglotta
polyglotta,6.0518,43.4932,Hippolais polyglotta
polyglotta,4.0515,43.6115,Hippolais polyglotta
polyglotta,3.2839,43.6863,Hippolais polyglotta
polyglotta,2.2383,44.7489,Hippolais polyglotta
polyglotta,5.8803,43.8929,Hippolais polyglotta
polyglotta,5.7907,44.1222,Hippolais polyglotta
polyglotta,0.3401,44.3325,Hippolais polyglotta
polyglotta,-0.757,42.561,Hippolais polyglotta
polyglotta,4.709,44.4656,Hippolais polyglotta
polyglotta,3.5579,45.3068,Hippolais polyglotta
polyglotta,-1.0467,44.6899,Hippolais polyglotta
polyglotta,0.1423,45.6268,Hippolais polyglotta
polyglotta,6.409,45.0453,Hippolais polyglotta
polyglotta,2.9201,45.3809,Hippolais polyglotta
polyglotta,4.1766,45.6065,Hippolais polyglotta
polyglotta,3.2269,45.6768,Hippolais polyglotta
polyglotta,3.2291,45.3953,Hippolais polyglotta
polyglotta,-0.8192,45.3423,Hippolais polyglotta
polyglotta,3.0378,45.2533,Hippolais polyglotta
polyglotta,0.0393,45.361,Hippolais polyglotta
polyglotta,4.0939,45.8774,Hippolais polyglotta
polyglotta,0.8914,45.663,Hippolais polyglotta
polyglotta,2.2579,46.0096,Hippolais polyglotta
polyglotta,2.9261,46.2543,Hippolais polyglotta
polyglotta,4.2703,45.4651,Hippolais polyglotta
polyglotta,0.6927,46.0503,Hippolais polyglotta
polyglotta,-0.6116,45.9688,Hippolais polyglotta
polyglotta,2.8266,45.8729,Hippolais polyglotta
polyglotta,2.4068,45.7909,Hippolais polyglotta
polyglotta,-0.4339,45.685,Hippolais polyglotta
polyglotta,-0.9821,46.326,Hippolais polyglotta
polyglotta,3.3352,45.889,Hippolais polyglotta
polyglotta,6.8759,47.6541,Hippolais polyglotta
polyglotta,0.7808,46.4013,Hippolais polyglotta
polyglotta,2.7343,46.6444,Hippolais polyglotta
polyglotta,-1.3044,46.1663,Hippolais polyglotta
polyglotta,0.6642,46.6681,Hippolais polyglotta
polyglotta,5.4846,47.077,Hippolais polyglotta
polyglotta,1.3969,46.7186,Hippolais polyglotta
polyglotta,3.3371,46.4214,Hippolais polyglotta
polyglotta,0.6871,46.4591,Hippolais polyglotta
polyglotta,0.4248,46.6869,Hippolais polyglotta
polyglotta,-0.1423,46.7746,Hippolais polyglotta
polyglotta,-1.8514,46.7875,Hippolais polyglotta
polyglotta,-1.2322,47.3287,Hippolais polyglotta
polyglotta,4.106,48.1071,Hippolais polyglotta
polyglotta,1.6542,46.674,Hippolais polyglotta
polyglotta,4.1026,46.8438,Hippolais polyglotta
polyglotta,4.3513,46.9352,Hippolais polyglotta
polyglotta,2.0453,47.8542,Hippolais polyglotta
polyglotta,3.0436,47.0627,Hippolais polyglotta
polyglotta,-0.4719,47.3176,Hippolais polyglotta
polyglotta,5.0717,47.7708,Hippolais polyglotta
polyglotta,2.5703,47.4116,Hippolais polyglotta
polyglotta,-1.5147,49.1829,Hippolais polyglotta
polyglotta,1.3096,47.7254,Hippolais polyglotta
polyglotta,3.5764,48.5223,Hippolais polyglotta
polyglotta,-0.7743,49.2071,Hippolais polyglotta
polyglotta,-1.2522,49.6091,Hippolais polyglotta
polyglotta,0.9671,48.0112,Hippolais polyglotta
polyglotta,5.9125,48.01,Hippolais polyglotta
polyglotta,-0.2912,48.1563,Hippolais polyglotta
polyglotta,0.0493,48.7591,Hippolais polyglotta
polyglotta,3.324,51.136,Hippolais polyglotta
polyglotta,-0.2438,49.2687,Hippolais polyglotta
polyglotta,2.2399,50.8185,Hippolais polyglotta
polyglotta,-0.9328,48.8204,Hippolais polyglotta
polyglotta,0.7909,49.4925,Hippolais polyglotta
polyglotta,4.1384,49.2597,Hippolais polyglotta
polyglotta,4.6287,49.1913,Hippolais polyglotta
polyglotta,1.4982,49.5869,Hippolais polyglotta
polyglotta,4.605,50.093,Hippolais polyglotta
polyglotta,1.3047,49.8197,Hippolais polyglotta
polyglotta,4.1335,50.121,Hippolais polyglotta
polyglotta,3.7731,50.1603,Hippolais polyglotta
polyglotta,4.34,49.982,Hippolais polyglotta
polyglotta,2.7796,50.3754,Hippolais polyglotta
polyglotta,3.3529,50.3937,Hippolais polyglotta
polyglotta,1.6355,50.4446,Hippolais polyglotta
polyglotta,2.2092,50.6366,Hippolais polyglotta
polyglotta,1.939,50.8062,Hippolais polyglotta
polyglotta,1.7152,50.7566,Hippolais polyglotta
polyglotta,7.674,46.303,Hippolais polyglotta
polyglotta,11.247,43.763,Hippolais polyglotta
polyglotta,-7.4233,39.3996,Hippolais polyglotta
polyglotta,12.696,42.74,Hippolais polyglotta
polyglotta,3.886,50.427,Hippolais polyglotta
polyglotta,-8.852,37.274,Hippolais polyglotta
polyglotta,-7.879,37.196,Hippolais polyglotta
polyglotta,-8.281,37.076,Hippolais polyglotta
polyglotta,-8.184,39.803,Hippolais polyglotta
polyglotta,-7.052,38.148,Hippolais polyglotta
polyglotta,-4.796,41.6,Hippolais polyglotta
polyglotta,-6.963,40.911,Hippolais polyglotta
polyglotta,-8.331,41.573,Hippolais polyglotta
polyglotta,-8.555,38.193,Hippolais polyglotta
polyglotta,-8.788,38.954,Hippolais polyglotta
polyglotta,-8.195,39.457,Hippolais polyglotta
polyglotta,-8.475,39.342,Hippolais polyglotta
polyglotta,-9.378,39.361,Hippolais polyglotta
polyglotta,-8.978,39.55,Hippolais polyglotta
polyglotta,-7.591,37.143,Hippolais polyglotta
polyglotta,-3.555,40.448,Hippolais polyglotta
polyglotta,-7.906,38.568,Hippolais polyglotta
polyglotta,9.196,45.504,Hippolais polyglotta
polyglotta,-7.52,30.605,Hippolais polyglotta
polyglotta,-5.996,31.362,Hippolais polyglotta
polyglotta,12.22,45.3637,Hippolais polyglotta
polyglotta,3.094,42.222,Hippolais polyglotta
polyglotta,-3.054,43.329,Hippolais polyglotta
polyglotta,-6.398,36.954,Hippolais polyglotta
polyglotta,-6.177,37.207,Hippolais polyglotta
polyglotta,-5.624,40.287,Hippolais polyglotta
polyglotta,-6.048,36.613,Hippolais polyglotta
polyglotta,-5.894,39.909,Hippolais polyglotta
polyglotta,-6.218,39.612,Hippolais polyglotta
polyglotta,-5.784,39.532,Hippolais polyglotta
polyglotta,-5.26,40.28,Hippolais polyglotta
polyglotta,-5.41,39.41,Hippolais polyglotta
polyglotta,-5.997,40.484,Hippolais polyglotta
polyglotta,0.93,41.257,Hippolais polyglotta
polyglotta,2.652,42.069,Hippolais polyglotta
polyglotta,-3.832,40.839,Hippolais polyglotta
polyglotta,-3.189,36.98,Hippolais polyglotta
polyglotta,-5.244,40.19,Hippolais polyglotta
polyglotta,-3.977,42.482,Hippolais polyglotta
polyglotta,3.0878,39.861,Hippolais polyglotta
polyglotta,-5.1141,33.5341,Hippolais polyglotta
polyglotta,-8.8346,42.444,Hippolais polyglotta
polyglotta,-9.7523,31.5094,Hippolais polyglotta
polyglotta,8.9167,33.4447,Hippolais polyglotta
polyglotta,4.557,50.18,Hippolais polyglotta
polyglotta,5.271,49.89,Hippolais polyglotta
polyglotta,5.366,49.796,Hippolais polyglotta
polyglotta,5.52,49.914,Hippolais polyglotta
polyglotta,5.896,50.779,Hippolais polyglotta
polyglotta,5.053,50.167,Hippolais polyglotta
polyglotta,5.688,50.411,Hippolais polyglotta
polyglotta,5.58,51.581,Hippolais polyglotta
polyglotta,4.434,50.759,Hippolais polyglotta
polyglotta,5.693,50.431,Hippolais polyglotta
polyglotta,5.879,50.979,Hippolais polyglotta
icterina,17.836,58.8076,Hippolais icterina
icterina,52.053,53.0434,Hippolais icterina
icterina,18.453,60.182,Hippolais icterina
icterina,17.904,59.4213,Hippolais icterina
icterina,17.052,61.2753,Hippolais icterina
icterina,18.129,56.9184,Hippolais icterina
icterina,22.178,60.4586,Hippolais icterina
icterina,97.3,57.4667,Hippolais icterina
icterina,28.57,43.7,Hippolais icterina
icterina,17.021,58.7262,Hippolais icterina
icterina,21.076,64.7267,Hippolais icterina
icterina,25.53,41.63,Hippolais icterina
icterina,23.525,58.956,Hippolais icterina
icterina,24.699,60.1521,Hippolais icterina
icterina,16.447,56.5417,Hippolais icterina
icterina,32.478,46.497,Hippolais icterina
icterina,15.93,60.065,Hippolais icterina
icterina,14.73,55.2394,Hippolais icterina
icterina,27.52,42.56,Hippolais icterina
icterina,91.492,53.735,Hippolais icterina
icterina,14.175,55.7477,Hippolais icterina
icterina,18.138,64.7489,Hippolais icterina
icterina,15.139,59.2628,Hippolais icterina
icterina,24.527,58.4617,Hippolais icterina
icterina,12.789,56.6427,Hippolais icterina
icterina,16.468,62.3956,Hippolais icterina
icterina,54.072,56.8113,Hippolais icterina
icterina,16.217,65.9608,Hippolais icterina
icterina,17.847,62.5113,Hippolais icterina
icterina,27.73,43.19,Hippolais icterina
icterina,13.811,59.3848,Hippolais icterina
icterina,11.86,55.9781,Hippolais icterina
icterina,23.688,56.925,Hippolais icterina
icterina,10.525,55.3186,Hippolais icterina
icterina,10.964,55.7327,Hippolais icterina
icterina,11.961,54.5674,Hippolais icterina
icterina,26.75,59.055,Hippolais icterina
icterina,14.842,57.8431,Hippolais icterina
icterina,10.629,56.4508,Hippolais icterina
icterina,13.473,54.3475,Hippolais icterina
icterina,18.486,47.3736,Hippolais icterina
icterina,39.303,54.955,Hippolais icterina
icterina,13.557,56.2532,Hippolais icterina
icterina,16.41,54.46,Hippolais icterina
icterina,10.47,54.1416,Hippolais icterina
icterina,37.283,55.7859,Hippolais icterina
icterina,18.017,47.7167,Hippolais icterina
icterina,12.446,63.2601,Hippolais icterina
icterina,22.833,53.51,Hippolais icterina
icterina,12.253,51.8279,Hippolais icterina
icterina,34.912,51.6867,Hippolais icterina
icterina,4.267,52.083,Hippolais icterina
icterina,19.1,46.45,Hippolais icterina
icterina,38.556,60.9983,Hippolais icterina
icterina,10.906,53.3185,Hippolais icterina
icterina,13.351,52.5142,Hippolais icterina
icterina,27.762,52.0824,Hippolais icterina
icterina,9.793,53.6405,Hippolais icterina
icterina,33.35,58.05,Hippolais icterina
icterina,21.367,47.45,Hippolais icterina
icterina,7.899,53.7883,Hippolais icterina
icterina,23,42.89,Hippolais icterina
icterina,9.453,52.5089,Hippolais icterina
icterina,9.217,63.067,Hippolais icterina
icterina,28.317,54.749,Hippolais icterina
icterina,9.937,51.5383,Hippolais icterina
icterina,10.781,50.7923,Hippolais icterina
icterina,7.427,53.3167,Hippolais icterina
icterina,16.833,47.6833,Hippolais icterina
icterina,7.629,51.9612,Hippolais icterina
icterina,8.097,48.87,Hippolais icterina
icterina,20.754,47.992,Hippolais icterina
icterina,16.122,48.3094,Hippolais icterina
icterina,6.398,51.256,Hippolais icterina
icterina,8.326,50.6538,Hippolais icterina
icterina,8.693,52.1365,Hippolais icterina
icterina,10.856,64.452,Hippolais icterina
icterina,22.833,47.95,Hippolais icterina
icterina,7.377,47.6101,Hippolais icterina
icterina,18.183,46.1,Hippolais icterina
icterina,9.181,48.7771,Hippolais icterina
icterina,13.014,64.848,Hippolais icterina
icterina,15.435,49.55,Hippolais icterina
icterina,20.355,50.0045,Hippolais icterina
icterina,21.567,49.5333,Hippolais icterina
icterina,7.774,48.0457,Hippolais icterina
icterina,8.869,51.2824,Hippolais icterina
icterina,12.96,48.832,Hippolais icterina
icterina,5.339,59.453,Hippolais icterina
icterina,19.826,50.1599,Hippolais icterina
icterina,9.991,48.3908,Hippolais icterina
icterina,15.905,50.629,Hippolais icterina
icterina,11.723,48.3919,Hippolais icterina
icterina,22.345,49.2343,Hippolais icterina
icterina,6.924,59.936,Hippolais icterina
icterina,14.37,48.25,Hippolais icterina
icterina,6.84,61.666,Hippolais icterina
icterina,6.185,59.272,Hippolais icterina
icterina,9.174,47.6591,Hippolais icterina
icterina,11.086,47.4922,Hippolais icterina
